target,reference,snapshot_date,rank,category_qid,category_title,gap,overlap_target,overlap_reference,coverage_pct,weighted_score
anpwiki,enwiki,2026-06-23,1,1410960,United_States,211794,39,211833,0.0002,850278007
anpwiki,enwiki,2026-06-23,2,3919762,American_people,123441,21,123462,0.0002,776016290
anpwiki,enwiki,2026-06-23,3,5479723,Film_actors,36774,4,36778,0.0001,531339137
anpwiki,enwiki,2026-06-23,4,3919792,Actors,56604,7,56611,0.0001,466995663
anpwiki,enwiki,2026-06-23,5,9698417,American_actors,23933,1,23934,0.0,439464848
anpwiki,enwiki,2026-06-23,6,5479560,Television_actors,31002,0,31002,0.0,420381482
anpwiki,enwiki,2026-06-23,7,5837414,American_film_actors,12402,0,12402,0.0,368397244
anpwiki,enwiki,2026-06-23,8,5461159,American_television_actors,12584,1,12585,0.0001,365997005
anpwiki,enwiki,2026-06-23,9,8206360,21st-century_American_actors,11369,2,11371,0.0002,357507963
anpwiki,enwiki,2026-06-23,10,9426612,Алфавит_буйынса_актёрҙар,13532,7,13539,0.0005,343093007
anpwiki,enwiki,2026-06-23,11,6840573,English-language_films,62176,0,62176,0.0,315977328
anpwiki,enwiki,2026-06-23,12,3919868,American_films,33734,0,33734,0.0,279637189
anpwiki,enwiki,2026-06-23,13,7835232,Əlifba_sırasına_görə_filmlər,35200,3,35203,0.0001,276315553
anpwiki,enwiki,2026-06-23,14,1411125,United_Kingdom,74694,52,74746,0.0007,267460096
anpwiki,enwiki,2026-06-23,15,7269712,20th-century_American_actors,12128,0,12128,0.0,267069488
anpwiki,enwiki,2026-06-23,16,5611338,Association_football,144269,3,144272,0.0,247845109
anpwiki,enwiki,2026-06-23,17,8246543,American_male_film_actors,14289,0,14289,0.0,247711552
anpwiki,enwiki,2026-06-23,18,3919830,British_people,44517,20,44537,0.0004,244703342
anpwiki,enwiki,2026-06-23,19,1457982,Sports,132496,19,132515,0.0001,244135252
anpwiki,enwiki,2026-06-23,20,9715949,Vikipedya:AY,1093,185,1278,0.1448,243763276
anpwiki,enwiki,2026-06-23,21,6508,Astronomy,5407,54,5461,0.0099,242703948
anpwiki,enwiki,2026-06-23,22,9703480,Biôgrafia,24939,96,25035,0.0038,239258350
anpwiki,enwiki,2026-06-23,23,9228737,Кандык_айдыҥ_21_кӱнинде_чыккандар,1699,1,1700,0.0006,229867654
anpwiki,enwiki,2026-06-23,24,9220893,Кӱӱк_айдыҥ_28_кӱнинде_божогондор,689,1,690,0.0014,226845808
anpwiki,enwiki,2026-06-23,25,4966679,Wikipedia,463,13,476,0.0273,226541106
anpwiki,enwiki,2026-06-23,26,9865921,Wikipedia:Wiphalakunap_Plantillankukuna,868,20,888,0.0225,225593431
anpwiki,enwiki,2026-06-23,27,9715644,Wp/srn,466,31,497,0.0624,222941226
anpwiki,enwiki,2026-06-23,28,6397842,American_male_actors,9774,1,9775,0.0001,222132362
anpwiki,enwiki,2026-06-23,29,9636824,Əlifba_sırasına_görə_musiqiçilər,24567,5,24572,0.0002,222032658
anpwiki,enwiki,2026-06-23,30,9426286,Алфавит_буйынса_актрисалар,11274,2,11276,0.0002,221243085
anpwiki,enwiki,2026-06-23,31,129212025,Tuveli:Izvopa,430,23,453,0.0508,218608889
anpwiki,enwiki,2026-06-23,32,97269191,Pàgine_in_Zeneise-Grafia_unitäia,89,5,94,0.0532,215707321
anpwiki,enwiki,2026-06-23,33,33079992,Gamba_Peuniléh,23,1,24,0.0417,215076069
anpwiki,enwiki,2026-06-23,34,8246554,American_male_television_actors,11626,0,11626,0.0,211882690
anpwiki,enwiki,2026-06-23,35,6740310,American_voice_actors,4402,0,4402,0.0,206084206
anpwiki,enwiki,2026-06-23,36,140310923,Actors_estatunidencs_nascuts_al_segle_XX,3339,2,3341,0.0006,204127050
anpwiki,enwiki,2026-06-23,37,9724347,Paggene_scritte_int''e_dialette_d''o_Lazzio_Meridiunale,169,19,188,0.1011,204028321
anpwiki,enwiki,2026-06-23,38,8245580,American_film_actresses,11266,0,11266,0.0,196804162
anpwiki,enwiki,2026-06-23,39,106848755,Sabak_Tutuy,143,31,174,0.1782,192479535
anpwiki,enwiki,2026-06-23,40,10074376,Pobo_sakizaya,6,1,7,0.1429,192330935
anpwiki,enwiki,2026-06-23,41,2944611,Wikipedia_administration,33,6,39,0.1538,191344642
anpwiki,enwiki,2026-06-23,42,6426972,American_television_actresses,9388,0,9388,0.0,190118739
anpwiki,enwiki,2026-06-23,43,6645404,American_actresses,8136,0,8136,0.0,188633118
anpwiki,enwiki,2026-06-23,44,7063228,American_singers,8056,1,8057,0.0001,188447282
anpwiki,enwiki,2026-06-23,45,106843442,To_be_checked,562,286,848,0.3373,188020841
anpwiki,enwiki,2026-06-23,46,6408784,21st-century_actors,6786,1,6787,0.0001,187572492
anpwiki,enwiki,2026-06-23,47,5612559,Main_Page,5,1,6,0.1667,187159607
anpwiki,enwiki,2026-06-23,48,7220786,Selected_anniversaries,5,1,6,0.1667,187018880
anpwiki,enwiki,2026-06-23,49,14914955,21st-century_American_male_actors,7413,1,7414,0.0001,186581388
anpwiki,enwiki,2026-06-23,50,33029934,Articol_in_Milanes,32781,299,33080,0.009,184614544
anpwiki,hiwiki,2026-06-23,1,1411417,भारत,7468,214,7682,0.0279,2944999
anpwiki,hiwiki,2026-06-23,2,1983910,हिन्दू_धर्म,2310,103,2413,0.0427,1551905
anpwiki,hiwiki,2026-06-23,3,6994462,भारत_के_लोग,3079,39,3118,0.0125,1550004
anpwiki,hiwiki,2026-06-23,4,4630,भारत_का_इतिहास,1536,63,1599,0.0394,1028646
anpwiki,hiwiki,2026-06-23,5,7030483,भारतीय_राजनीतिज्ञ,1542,17,1559,0.0109,787931
anpwiki,hiwiki,2026-06-23,6,82515714,People_from_India,865,21,886,0.0237,713132
anpwiki,hiwiki,2026-06-23,7,1457595,इतिहास,2069,187,2256,0.0829,711012
anpwiki,hiwiki,2026-06-23,8,7192108,Páginas_con_errores_en_secuencias_de_órdenes,1973,376,2349,0.1601,695656
anpwiki,hiwiki,2026-06-23,9,7030643,भारतीय_हिन्दू,732,15,747,0.0201,666982
anpwiki,hiwiki,2026-06-23,10,5897849,स्रोतहीन_लेख,2041,208,2249,0.0925,609541
anpwiki,hiwiki,2026-06-23,11,25351284,कायमचे_मृत_बाह्य_दुवे_असणारे_लेख,1226,49,1275,0.0384,595315
anpwiki,hiwiki,2026-06-23,12,33029934,Articol_in_Milanes,4424,299,4723,0.0633,583627
anpwiki,hiwiki,2026-06-23,13,32589508,ويکيډاټا_سرچينې_لرونکي_مخونه,1054,245,1299,0.1886,564189
anpwiki,hiwiki,2026-06-23,14,7023926,संस्कृत_शब्द,823,27,850,0.0318,546984
anpwiki,hiwiki,2026-06-23,15,6944392,भारतीय_राजनीति,384,19,403,0.0471,539836
anpwiki,hiwiki,2026-06-23,16,2944929,संस्कृति,1604,251,1855,0.1353,529809
anpwiki,hiwiki,2026-06-23,17,5668044,भारतीय_फ़िल्में,4426,34,4460,0.0076,516733
anpwiki,hiwiki,2026-06-23,18,1457673,भूगोल,2530,380,2910,0.1306,512603
anpwiki,hiwiki,2026-06-23,19,9727294,ಕಡತ_ಕೊಂಡಿಗಳು_ಮುರಿದಿರುವ_ಪುಟಗಳು,924,88,1012,0.087,509426
anpwiki,hiwiki,2026-06-23,20,7024688,भारतीय_अभिनेता,1284,5,1289,0.0039,505920
anpwiki,hiwiki,2026-06-23,21,6465874,مواليد_في_الهند,421,16,437,0.0366,494377
anpwiki,hiwiki,2026-06-23,22,3919792,अभिनेता,2390,7,2397,0.0029,482188
